N_Samples	Iteration	N_Loops
13	77	13883
14	77	14333
15	77	15783
16	77	16403
17	77	16474
1	78	2465
2	78	5459
3	78	5699
4	78	5876
5	78	6844
6	78	7731
7	78	7961
8	78	10541
9	78	11280
10	78	12005
11	78	12684
12	78	13159
13	78	13552
14	78	14269
15	78	14967
16	78	15757
17	78	16474
1	79	4416
2	79	5708
3	79	6589
4	79	9529
5	79	10175
6	79	10774
7	79	10876
8	79	11700
9	79	11884
10	79	12717
11	79	13356
12	79	13952
13	79	14215
14	79	14293
15	79	14967
16	79	15757
17	79	16474
1	80	4712
2	80	5459
3	80	6590
4	80	8211
5	80	10633
6	80	10732
7	80	11245
8	80	11339
9	80	12050
10	80	12640
11	80	13580
12	80	14002
13	80	14668
14	80	15074
15	80	15231
16	80	15757
17	80	16474
1	81	3535
2	81	5670
3	81	7732
4	81	8512
5	81	9542
6	81	10209
7	81	11193
8	81	11782
9	81	11971
10	81	12456
11	81	13170
12	81	13433
13	81	13518
14	81	14196
15	81	15685
16	81	15757
17	81	16474
1	82	1657
2	82	4088
3	82	6461
4	82	9435
5	82	10384
6	82	10989
7	82	11499
8	82	12116
9	82	12789
10	82	13738
11	82	13817
12	82	14085
13	82	14513
14	82	15287
15	82	15808
16	82	15880
17	82	16474
1	83	4548
2	83	4811
3	83	6075
4	83	7027
5	83	7280
6	83	7413
7	83	9161
8	83	9837
9	83	11069
10	83	12851
11	83	13482
12	83	14212
13	83	14602
14	83	15213
15	83	15645
16	83	15880
17	83	16474
1	84	1657
2	84	4088
3	84	6461
4	84	8337
5	84	9388
6	84	9495
7	84	10727
8	84	11324
9	84	11805
10	84	12576
11	84	13049
12	84	14625
13	84	14702
14	84	15309
15	84	15547
16	84	16073
17	84	16474
1	85	3663
2	85	5932
3	85	7537
4	85	8325
5	85	8916
6	85	9575
7	85	10630
8	85	11243
9	85	12029
10	85	12202
11	85	12284
12	85	12564
13	85	13511
14	85	14364
15	85	15004
16	85	15083
17	85	16474
1	86	4758
2	86	6134
3	86	8135
4	86	8716
5	86	9615
6	86	10574
7	86	11489
8	86	11782
9	86	11878
10	86	12341
11	86	12426
12	86	12935
13	86	14540
14	86	14694
15	86	15150
16	86	15910
17	86	16474
1	87	4601
2	87	5901
3	87	6769
4	87	7757
5	87	8549
6	87	9619
7	87	10272
8	87	10374
9	87	10569
10	87	10885
11	87	12005
12	87	12831
13	87	12918
14	87	14585
15	87	15198
16	87	15951
17	87	16474
1	88	7040
2	88	7985
3	88	8464
4	88	9654
5	88	10731
6	88	10830
7	88	11505
8	88	12265
9	88	12669
10	88	13585
11	88	13995
12	88	14565
13	88	15123
14	88	15198
15	88	15957
16	88	16102
17	88	16474
1	89	5604
2	89	7279
3	89	7417
4	89	8504
5	89	9870
6	89	10865
7	89	11709
8	89	12207
9	89	12723
10	89	13407
11	89	13823
12	89	15307
13	89	15619
14	89	15773
15	89	16175
16	89	16249
17	89	16474
1	90	5032
2	90	5414
3	90	6854
4	90	8219
5	90	8968
6	90	9342
7	90	9854
8	90	10632
9	90	11168
10	90	12007
11	90	13783
12	90	14385
13	90	15193
14	90	15611
15	90	15683
16	90	15757
17	90	16474
1	91	1292
2	91	5265
3	91	6730
4	91	7558
5	91	9170
6	91	9814
7	91	10016
8	91	10920
9	91	11019
10	91	11726
11	91	12118
12	91	12405
13	91	13159
14	91	13640
15	91	14483
16	91	15083
17	91	16474
1	92	4758
2	92	5471
3	92	5836
4	92	6794
5	92	8363
6	92	9088
7	92	9204
8	92	9959
9	92	10528
10	92	11125
11	92	11214
12	92	11988
13	92	12993
14	92	13888
15	92	14546
16	92	15083
17	92	16474
1	93	4712
2	93	5459
3	93	5808
4	93	6875
5	93	7699
6	93	8743
7	93	9855
8	93	11975
9	93	12653
10	93	12739
11	93	12818
12	93	13467
13	93	14370
14	93	14705
15	93	15104
16	93	15757
17	93	16474
1	94	3663
