SampleID	w	BPscore	window_step_abs_delta
PCa3023	11	0.09791151351767147	0.004329699593100075
PCa33173	11	0.08929873252604328	0.00962867704118582
PCa40507	11	0.11396257822122982	0.006645044084232457
PCa51852	11	0.11932732543070695	0.012541736745451476
PCa53687	11	0.10531482998127582	0.009112601890087807
PCa56413	11	0.10098259506291822	0.000633509021824713
PCa57294	11	0.10716467026442908	0.005049584007418742
PCa58215	11	0.10151928107687583	0.004577985301626786
Benign-Prostate-1595983	11	0.09065752302277905	0.005759271931984208
Benign-Prostate-1648133	11	0.10519946891825968	0.003923185721897579
Benign-Prostate-1664855	11	0.08822171552371119	0.005048675840315764
