Sample1	Sample2	Window	N_Int	Total	Frac
PCa13848	PCa57054	25	1592	1877	0.848161960575386
PCa13848	PCa57054	26	1542	1817	0.848651623555311
PCa13848	PCa57054	27	1496	1787	0.837157246782317
PCa13848	PCa57054	28	1458	1736	0.839861751152074
PCa13848	PCa57054	29	1398	1687	0.828689982216953
PCa13848	PCa57054	30	1380	1642	0.840438489646772
PCa13848	PCa57294	3	4894	7722	0.633773633773634
PCa13848	PCa57294	4	4953	6918	0.715958369470945
PCa13848	PCa57294	5	4659	6167	0.755472677152586
PCa13848	PCa57294	6	4272	5507	0.775739967314327
PCa13848	PCa57294	7	3975	4998	0.7953181272509
PCa13848	PCa57294	8	3656	4554	0.802810715854194
PCa13848	PCa57294	9	3349	4167	0.803695704343653
PCa13848	PCa57294	10	3143	3838	0.818916102136529
PCa13848	PCa57294	11	2855	3533	0.808095103311633
PCa13848	PCa57294	12	2675	3319	0.805965652304911
