Sample_ID	size	N
Benign-Prostate-3320942	2320000	4
Benign-Prostate-3320942	1560000	8
Benign-Prostate-3320942	24200000	1
Benign-Prostate-3320942	6360000	2
Benign-Prostate-3320942	1440000	8
Benign-Prostate-3320942	3600000	4
Benign-Prostate-3320942	2760000	3
Benign-Prostate-3320942	440000	45
Benign-Prostate-3320942	1400000	7
Benign-Prostate-3320942	1840000	10
Benign-Prostate-3320942	2880000	3
Benign-Prostate-3320942	2000000	4
Benign-Prostate-3320942	9440000	1
Benign-Prostate-3320942	960000	12
Benign-Prostate-3320942	2120000	5
Benign-Prostate-3320942	15960000	1
Benign-Prostate-3320942	7080000	2
Benign-Prostate-3320942	3280000	6
Benign-Prostate-3320942	10320000	2
Benign-Prostate-3320942	400000	57
Benign-Prostate-3320942	6640000	1
Benign-Prostate-3320942	1240000	9
Benign-Prostate-3320942	1200000	9
Benign-Prostate-3320942	8840000	1
Benign-Prostate-3320942	800000	21
Benign-Prostate-3320942	3160000	6
Benign-Prostate-3320942	2480000	2
Benign-Prostate-3320942	880000	21
Benign-Prostate-3320942	2680000	4
Benign-Prostate-3320942	2280000	11
Benign-Prostate-3320942	9560000	2
Benign-Prostate-3320942	2840000	6
Benign-Prostate-3320942	3000000	4
Benign-Prostate-3320942	2040000	4
Benign-Prostate-3320942	5520000	2
Benign-Prostate-3320942	5200000	2
Benign-Prostate-3320942	1880000	9
Benign-Prostate-3320942	4840000	4
Benign-Prostate-3320942	11160000	1
Benign-Prostate-3320942	720000	29
Benign-Prostate-3320942	9200000	1
Benign-Prostate-3320942	3120000	6
Benign-Prostate-3320942	6440000	1
Benign-Prostate-3320942	7400000	1
Benign-Prostate-3320942	2240000	3
Benign-Prostate-3320942	5240000	2
Benign-Prostate-3320942	2160000	6
